Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,NCES ID,Supervisory Union (ID) Number [District] 2020-21,Total Schools,Agency Type [District] 2020-21,Start of Year Status [District] 2020-21,Lowest Grade Offered,Highest Grade Offered,Total Students,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
BRAZOS ISD,Texas,TX,4844470,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,795,64.43,12.34
BRAZOS RIVER CHARTER SCHOOL,Texas,TX,4800214,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,207,19.32,10.71
BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,Texas,TX,4800086,,2,7-Independent Charter District,1-Open,Prekindergarten,8th Grade,327,29.21,11.19
BRAZOSPORT ISD,Texas,TX,4811190,,19,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,11424,874.71,13.06
BREA-OLINDA UNIFIED,California,CA,0605880,,10,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,5990,246.65,24.29
BREAKING BARRIERS ALTERNATIVE ED/HENRY CO,Virginia,VA,5100099,,1,9-Specialized public school district,1-Open,†,†,†,†,†
BREAKTHROUGH CHARTER SCHOOL,ALABAMA,AL,0100208,,0,7-Independent Charter District,7-Future,–,–,†,†,†
BREAKTHROUGH MONTESSORI PCS,DISTRICT OF COLUMBIA,DC,1100104,,1,7-Independent Charter District,1-Open,Prekindergarten,3rd Grade,273,13,21
BREATHITT COUNTY,Kentucky,KY,2100690,,6,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1827,108,16.92
BRECKENRIDGE COMMUNITY SCHOOLS,Michigan,MI,2606630,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,593,39.29,15.09
BRECKENRIDGE ISD,Texas,TX,4811220,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1402,99.87,14.04
BRECKENRIDGE PUBLIC SCHOOL DISTRICT,Minnesota,MN,2706150,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,619,46.03,13.45
BRECKENRIDGE R-I,Missouri,MO,2905850,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,62,14.17,4.38
BRECKINRIDGE COUNTY,Kentucky,KY,2100720,,6,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2678,164,16.33
BRECKSVILLE-BROADVIEW HEIGHTS CITY,Ohio,OH,3904364,,6,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,3640,192.39,18.92
BREESE ESD 12,Illinois,IL,1707010,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,638,–,–
BREITUNG TOWNSHIP SCHOOL DISTRICT,Michigan,MI,2606720,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,1902,98.94,19.22
BREMEN CHSD 228,Illinois,IL,1707050,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,9th Grade,12th Grade,5195,–,–
BREMEN CITY,Georgia,GA,1300510,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2287,139.3,16.42
BREMEN PUBLIC SCHOOLS,Maine,ME,2303480,,0,1-Regular local school district that is NOT a component of a supervisory union,1-Open,9th Grade,12th Grade,29,0.00,†
BREMEN PUBLIC SCHOOLS,Indiana,IN,1800900,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,1459,92.49,15.77
BREMERTON SCHOOL DISTRICT,Washington,WA,5300660,,14,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,4536,305.27,14.86
BREMOND ISD,Texas,TX,4811250,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,494,41.88,11.8
BRENHAM ISD,Texas,TX,4811280,,7,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,4944,377.9,13.08
BRENTWOOD,Missouri,MO,2905880,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,776,80.59,9.63
BRENTWOOD BOROUGH SD,Pennsylvania,PA,4204140,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,1124,91.44,12.29
BRENTWOOD SCHOOL DISTRICT,New Hampshire,NH,3302010,016 ,1,2-Local school district that is a component of a supervisory union,1-Open,Prekindergarten,5th Grade,283,25,11.32
BRENTWOOD UNION ELEMENTARY,California,CA,0605910,,11,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,8th Grade,9023,370.61,24.35
BRENTWOOD UNION FREE SCHOOL DISTRICT,New York,NY,3605280,,17,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,18320,1186.35,15.44
BRET HARTE UNION HIGH,California,CA,0605940,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,9th Grade,12th Grade,624,35.42,17.62
BREVARD,Florida,FL,1200150,,114,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,70996,4397.07,16.15
BREVARD ACADEMY,North Carolina,NC,3700068,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,418,25.53,16.37
BREWER PUBLIC SCHOOLS,Maine,ME,2303510,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1614,115.7,13.95
BREWERPORCH CHILDRENS CENTER,Alabama,AL,0100021,,1,5-State agency providing elementary and/or secondary level instruction,1-Open,†,†,†,0.00,–
BREWSTER,Kansas,KS,2004080,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,148,22.51,6.57
BREWSTER,Massachusetts,MA,2502970,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,5th Grade,420,46.99,8.94
BREWSTER CENTRAL SCHOOL DISTRICT,New York,NY,3605310,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,3030,263.18,11.51
BREWSTER SCHOOL DISTRICT,Washington,WA,5300690,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,961,52.14,18.43
BREWTON CITY,Alabama,AL,0100450,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1192,73.5,16.22
BRIARCLIFF MANOR UNION FREE SCHOOL DISTRICT,New York,NY,3605340,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,1358,129.52,10.48
BRICK TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,NJ,3402220,,12,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,8414,689.08,12.21
BRICOLAGE ACADEMY,LOUISIANA,LA,2200289,,1,7-Independent Charter District,1-Open,Prekindergarten,7th Grade,778,54,14.41
BRIDGE ACADEMY,Michigan,MI,2600306,,3,7-Independent Charter District,1-Open,Prekindergarten,12th Grade,1015,49.5,20.51
BRIDGE ACADEMY OF SOUTHWEST MICHIGAN,MICHIGAN,MI,2601136,,0,7-Independent Charter District,7-Future,–,–,†,†,†
BRIDGE BOSTON CHARTER SCHOOL (DISTRICT),Massachusetts,MA,2500527,,1,7-Independent Charter District,1-Open,Prekindergarten,8th Grade,338,36.4,9.29
BRIDGE CITY ISD,Texas,TX,4811310,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,3028,191.4,15.82
BRIDGE CREEK,Oklahoma,OK,4005400,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1671,93.22,17.93
BRIDGE ELEMENTARY SCHOOL,UTAH,UT,4900202,,1,7-Independent Charter District,3-New,Kindergarten,6th Grade,483,–,–
BRIDGE GATE COMMUNITY SCHOOL,OHIO,OH,3901582,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,213,11.25,18.93
BRIDGE PREPARATORY CHARTER SCHOOL,NEW YORK,NY,3601213,,1,7-Independent Charter District,1-Open,1st Grade,3rd Grade,157,19,8.26
BRIDGEHAMPTON UNION FREE SCHOOL DISTRICT,New York,NY,3605370,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,210,55.7,3.77
BRIDGEPORT EXEMPTED VILLAGE,Ohio,OH,3904523,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,760,51.7,14.7
BRIDGEPORT ISD,Texas,TX,4811340,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2051,163.61,12.54
BRIDGEPORT PUBLIC SCHOOLS,Nebraska,NE,3100105,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,460,40.17,11.45
BRIDGEPORT SCHOOL DISTRICT,Connecticut,CT,0900450,,36,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,19276,1377.7,13.99
BRIDGEPORT SCHOOL DISTRICT,Washington,WA,5300720,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,802,44.1,18.19
BRIDGEPORT-SPAULDING COMMUNITY SCHOOL DISTRICT,Michigan,MI,2606780,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1494,66.2,22.57
BRIDGER K-12 SCHOOLS,Montana,MT,3004800,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,182,20.29,8.97
BRIDGES ACADEMY,North Carolina,NC,3700041,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,172,9.11,18.88
BRIDGES CHARTER DISTRICT,CALIFORNIA,CA,0601879,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,399,18.08,22.07
BRIDGES COMMUNITY ACADEMY,Ohio,OH,3900502,,1,7-Independent Charter District,1-Open,Kindergarten,6th Grade,67,8.1,8.27
BRIDGES PCS,District of Columbia,DC,1100055,,1,7-Independent Charter District,1-Open,Prekindergarten,5th Grade,403,44,9.16
BRIDGETON CITY SCHOOL DISTRICT,New Jersey,NJ,3402250,,8,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,6313,511,12.35
BRIDGETON PUBLIC CHARTER SCHOOL,NEW JERSEY,NJ,3400782,,1,7-Independent Charter District,1-Open,Kindergarten,4th Grade,99,10,9.9
BRIDGEVILLE ELEMENTARY,California,CA,0606000,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,8th Grade,43,3,14.33
BRIDGEWATER PUBLIC SCHOOLS,Maine,ME,2300004,,0,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,0,0.00,†
BRIDGEWATER-EMERY 30-3,South Dakota,SD,4621420,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,345,29.18,11.82
BRIDGEWATER-RARITAN REGIONAL SCHOOL DISTRICT,New Jersey,NJ,3402280,,11,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,8254,754.4,10.94
BRIDGEWATER-RAYNHAM,Massachusetts,MA,2503030,,8,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,5272,331.78,15.89
BRIDGEWAY PREPARATORY ACADEMY,TEXAS,TX,4801462,,1,7-Independent Charter District,1-Open,Prekindergarten,5th Grade,101,9,11.22
BRIDGING COMMUNITIES REG CTE CENTER,Virginia,VA,5100255,,2,9-Specialized public school district,1-Open,Ungraded,Ungraded,0,†,–
BRIDGMAN PUBLIC SCHOOLS,Michigan,MI,2606840,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,777,64.5,12.05
BRIELLE BORO SCHOOL DISTRICT,New Jersey,NJ,3402310,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,512,50.6,10.12
BRIGANTINE PUBLIC SCHOOL DISTRICT,New Jersey,NJ,3402340,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,447,63,7.1
BRIGGS,Oklahoma,OK,4005430,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,424,27.17,15.61
BRIGGS ELEMENTARY,California,CA,0606030,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,8th Grade,499,26.6,18.76
BRIGHT BEGINNINGS SCHOOL INC. (4362),Arizona,AZ,0400071,,1,7-Independent Charter District,1-Open,Kindergarten,6th Grade,238,–,–
BRIGHT LOCAL,Ohio,OH,3904761,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,710,41.31,17.19
BRIGHT STAR SECONDARY CHARTER ACADEMY DISTRICT,CALIFORNIA,CA,0601532,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,536,22.83,23.48
BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,New York,NY,3600032,,1,7-Independent Charter District,1-Open,Kindergarten,5th Grade,258,20,12.9
BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS,New York,NY,3600033,,1,7-Independent Charter District,1-Open,Kindergarten,5th Grade,281,22,12.77
BRIGHTON #1 SCHOOL DISTRICT,Wisconsin,WI,5501650,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,200,13,15.38
BRIGHTON AREA SCHOOLS,Michigan,MI,2606870,,9,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,5779,357.93,16.15
BRIGHTON CENTRAL SCHOOL DISTRICT,New York,NY,3605460,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,3417,270.75,12.62
BRIGHTON PLT SCHOOL DEPARTMENT,Maine,ME,2314811,,0,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,0,0.00,†
BRIGHTON SCHOOL DISTRICT,Vermont,VT,5002610,031 ,1,2-Local school district that is a component of a supervisory union,1-Open,Prekindergarten,8th Grade,117,10.54,11.1
BRILLA CARITAS CHARTER SCHOOL,NEW YORK,NY,3601221,,1,7-Independent Charter District,3-New,Kindergarten,Kindergarten,98,0.00,†
BRILLA COLLEGE PREPARATORY CHARTER SCHOOL,New York,NY,3601108,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,793,54,14.69
BRILLA PAX CHARTER SCHOOL,NEW YORK,NY,3601222,,1,7-Independent Charter District,3-New,Kindergarten,Kindergarten,94,0.00,†
BRILLA VERITAS CHARTER SCHOOL,NEW YORK,NY,3601165,,1,7-Independent Charter District,1-Open,Kindergarten,3rd Grade,367,29,12.66
BRILLANTE ACADEMY,TEXAS,TX,4801475,,0,7-Independent Charter District,7-Future,–,–,†,†,†
BRILLION SCHOOL DISTRICT,Wisconsin,WI,5501680,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,923,67.24,13.73
BRIMFIELD,Massachusetts,MA,2503060,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,6th Grade,269,24.9,10.8
BRIMFIELD CUSD 309,Illinois,IL,1707200,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,655,–,–
BRIMLEY AREA SCHOOLS,Michigan,MI,2606900,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,520,35.53,14.64
BRINKLEY SCHOOL DISTRICT,Arkansas,AR,0503630,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,457,53.06,8.61
BRINNON SCHOOL DISTRICT,Washington,WA,5300750,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,74,5.32,13.91
BRISBANE ELEMENTARY,California,CA,0606060,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,8th Grade,474,29.91,15.85
BRISTOL,Tennessee,TN,4700360,,8,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,3843,269.2,14.28
BRISTOL #1 SCHOOL DISTRICT,Wisconsin,WI,5501710,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,803,48.19,16.66
BRISTOL BAY BOROUGH SCHOOL DISTRICT,Alaska,AK,0200030,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,114,11,10.36
BRISTOL BOROUGH SD,Pennsylvania,PA,4204200,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1199,81.5,14.71
BRISTOL CITY PBLC SCHS,Virginia,VA,5100450,,7,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2214,162.58,13.62
BRISTOL COUNTY AGRICULTURAL,Massachusetts,MA,2503070,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,9th Grade,12th Grade,448,35.2,12.73
BRISTOL LOCAL,Ohio,OH,3905011,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,475,41.78,11.37
